aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu
90578805,1991,2.167,71,1,0.861,0.944,0.918
90578806,1993,2,91,1,0.708,0.924,0.926
90578813,1991,4,110,1,0.788,0.927,0.935
90578846,1993,3.111,108,1,0.899,0.882,0.79
90578873,1993,4,89,1,0.954,0.923,0.896
90578880,1992,0.563,41,1,0.731,0.803,0.732
90578923,1994,3.167,104,1,0.811,0.932,0.828
90578927,1994,2.333,90,0,0.811,0.935,0.828
90578985,1991,3.75,115,1,0.914,0.932,0.911
90578986,1993,2.643,89,1,0.953,0.942,0.914
90578999,1992,3.75,110,1,0.678,0.945,0.893
90579230,1992,2.167,102,1,0.821,0.931,0.938
90579233,1992,1.4,91,1,0.791,0.86,0.995
90579270,1992,2.1,110,1,0.346,0.923,0.858
90579271,1994,2.917,106,1,0.836,0.948,0.83
90579272,1994,1.5,93,1,0.873,0.957,0.855
90579296,1994,2.125,95,1,0.785,0.958,0.822
90579944,1991,1.455,93,1,0.979,0.921,0.697
90579960,1993,2.462,110,1,0.808,0.951,0.801
90579985,1996,3.214,119,1,0.911,0.888,0.701
90579990,1993,2.5,91,1,0.795,0.938,0.838
90606629,1991,1.5,99,0,0.884,0.907,0.872
90608976,1993,2.75,93,1,0.994,0.952,0.91
90614172,1993,2.429,119,1,0.981,0.935,0.897
90614371,1993,3.125,100,1,0.784,0.944,0.915
90614876,1991,3.429,118,1,0.598,0.926,0.738
90614978,1993,2,83,1,0.563,0.942,0.907
90619168,1992,3.938,111,1,0.928,0.958,0.93
90619260,1994,3,110,1,0.816,0.98,0.881
90619265,1991,3,118,1,0.764,0.847,0.51
90619464,1996,2.667,111,1,0.667,0.942,0.853
90619861,1992,3.875,114,1,0.764,0.847,0.51
90619961,1993,3.25,119,1,0.723,0.962,0.938
90636252,1992,2.929,114,1,0.896,0.893,0.923
90646128,1991,0.615,111,1,0.338,0.942,0.976
90676053,1992,4,111,1,0.641,0.83,0.728
90676321,1991,1.154,102,1,0.875,0.905,0.957
90676422,1991,4,115,1,0.429,0.811,0.782
90676458,1993,2,73,1,0.922,0.942,0.885
90676725,1992,2.182,86,0,0.458,0.961,0.907
90676829,1994,1,90,1,0.621,0.955,0.984
90678178,1992,1.917,118,1,0.782,0.918,0.841
90678671,1992,3,106,1,0.727,0.846,0.882
90710085,1996,2.143,106,1,0.986,0.934,0.689
90710194,1995,3.333,108,1,0.924,0.913,0.782
90710297,1996,2.083,98,1,0.918,0.895,0.757
90710386,1994,2.714,91,1,0.967,0.922,0.9
90710930,1996,2.286,77,1,0.758,0.925,0.84
90711360,1996,1.222,91,1,0.946,0.911,0.869
90712140,1995,2.667,93,1,0.855,0.91,0.856
90712211,1995,4,91,1,0.913,0.921,0.826
90712216,1996,4,100,1,0.766,0.877,0.91
90712914,1995,0.818,89,0,0.886,0.974,0.845
90712942,1996,3.222,94,1,0.855,0.91,0.856
90712997,1995,2.357,78,0,0.921,0.938,0.836
90713391,1995,4,90,1,0.787,0.91,0.861
90713702,1996,2.063,100,1,0.317,0.923,0.852
90713909,1996,2.313,81,0,0.805,0.96,0.917
90713930,1995,3.733,118,1,0.71,0.881,0.662
90713998,1996,3,83,1,0.787,0.91,0.861
90714022,1995,2.5,81,1,0.855,0.847,0.773
90714025,1996,2.133,91,1,0.894,0.961,0.721
90714238,1996,2.778,77,1,0.634,0.887,0.698
90714245,1996,2.571,89,1,0.992,0.963,0.877
90714328,1996,2.857,107,1,0.674,0.884,0.818
90714390,1996,1.917,110,1,0.847,0.803,0.916
90714942,1996,0.2,89,1,0.971,0.925,0.815
90715191,1996,2.167,91,1,0.672,0.927,0.838
90715198,1995,1.692,90,1,0.968,0.919,0.859
90715294,1996,2.286,90,1,0.954,0.928,0.896
90715353,1995,2.071,93,1,0.766,0.955,0.935
90715983,1996,2.429,91,1,0.641,0.917,0.958
90715987,1996,3.385,96,0,0.781,0.934,0.823
90715988,1995,3.214,91,1,0.781,0.934,0.823
90715993,1995,2.714,106,1,0.854,0.93,0.853
90716050,1995,2.313,104,1,0.974,0.921,0.915
90716064,1996,1.2,90,0,0.677,0.803,0.853
90716258,1996,2.231,93,1,0.984,0.92,0.811
90716352,1995,1.909,102,0,0.984,0.947,0.89
90716390,1995,1,79,0,0.802,0.949,0.838
90716951,1995,2.5,112,1,0.915,0.93,0.912
90716952,1996,2.538,93,1,0.833,0.899,0.842
90716969,1995,3.643,119,1,0.878,0.918,0.782
90716973,1995,3.083,91,1,0.673,0.956,0.866
90716975,1996,3.933,118,1,0.673,0.956,0.866
90716976,1996,2.8,103,1,0.673,0.956,0.866
90716978,1995,3.706,110,1,0.673,0.956,0.866
90716979,1996,4,107,1,0.673,0.956,0.866
90716990,1994,1.462,81,0,0.713,0.924,0.859
90716994,1995,2.583,108,1,0.827,0.935,0.981
90717150,1995,2.667,107,1,0.934,0.856,0.914
90717158,1995,3.833,83,1,0.938,0.94,0.801
90717167,1994,3.462,114,0,0.788,0.946,0.834
90717362,1995,3.133,103,1,0.949,0.93,0.91
90718081,1996,1.688,82,1,0.818,0.855,0.957
90718089,1996,1.571,103,1,0.886,0.936,0.806
90718113,1996,3.625,107,1,0.81,0.923,0.887
